name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,game_week
Seamus_Coleman,0,40,0,0,0,14,0,5,29,10.4,2,0,126,0,0,163,0,1,0,3.3,9498,22.2,0,2016-12-19T20:00:00Z,12/19/19 20:00,0,0,90,0,2,9,0,0,0,0,10,0,17,0,185513,2,1,0,1,0,0,1,6551,9325,2774,55,TRUE,0,1,17
Sebastian_Larsson,0,1,0,0,0,3,0,0,1,0,0,0,349,0,0,167,0,0,0,0,9721,0.2,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,3,0,0,18,0,0,0,0,1,0,17,0,562,0,0,0,0,1,0,1,26,46,20,47,TRUE,0,0,17
Sebastian_Pr�dl,0,7,0,0,0,6,0,2,6,0.1,0,0,409,0,0,167,0,0,0,2.4,9781,6.4,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,30,0,0,15,0,0,0,0,0,0,17,0,60166,0,1,0,0,1,17,1,5023,7161,2138,45,FALSE,0,0,17
Serge_Gnabry,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,164,0,0,0,0,9391,0,0,2016-12-18T16:00:00Z,12/18/19 16:00,0,0,0,0,0,10,0,0,0,0,0,0,17,0,789,0,0,0,1,2,0,0,-5,6,11,50,FALSE,0,0,17
Sergio_Ag�ero,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,164,0,0,0,0,9611,0,0,2016-12-18T16:00:00Z,12/18/19 16:00,0,0,0,0,0,1,0,0,0,0,0,0,17,0,764640,0,0,0,1,2,0,0,-42300,468,42768,128,TRUE,0,0,17
Sergio_Romero,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,169,0,0,0,0,9615,0,0,2016-12-17T17:30:00Z,12/17/19 17:30,0,0,0,0,0,19,0,0,0,0,0,0,17,0,5342,0,0,0,2,0,0,0,-47,16,63,47,FALSE,0,0,17
Shane_Long,0,0,0,0,0,5,0,0,0,0,0,0,313,0,0,161,0,0,0,0.2,9685,2,0,2016-12-18T13:30:00Z,12/18/19 13:30,0,0,1,0,0,2,0,0,0,0,0,0,17,0,133607,0,1,0,3,1,0,1,92,2162,2070,61,FALSE,0,0,17
Shaun_MacDonald,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,161,0,0,0,0,9413,0,0,2016-12-18T13:30:00Z,12/18/19 13:30,0,0,0,0,0,13,0,0,0,0,0,0,17,0,4577,0,0,0,3,1,0,0,-30,8,38,45,TRUE,0,0,17
Shaun_Maloney,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,170,0,0,0,0,9534,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,20,0,0,0,0,0,0,17,0,32419,0,0,0,0,1,0,0,-747,53,800,44,FALSE,0,0,17
Shay_Given,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,166,0,0,0,0,9687,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,8,0,0,0,0,0,0,17,0,22710,0,0,0,2,2,0,0,-340,46,386,44,TRUE,0,0,17
Shinji_Okazaki,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,166,0,0,0,0,9558,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,14,0,0,0,0,0,0,17,0,71737,0,0,0,2,2,0,0,-1523,3084,4607,57,FALSE,0,0,17
Shkodran_Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,164,0,0,0,0,9927,0,0,2016-12-18T16:00:00Z,12/18/19 16:00,0,0,0,0,0,10,0,0,0,0,0,0,17,0,42391,0,0,0,1,2,0,0,-11879,136,12015,59,FALSE,0,0,17
Simone_Zaza,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,170,0,0,0,0,9922,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,7,0,0,0,0,0,0,17,0,5968,0,0,0,0,1,0,0,-532,52,584,61,TRUE,0,0,17
Simon_Francis,0,59,0,0,0,27,0,11,44,19,0,0,31,0,1,161,0,3,0,6,9403,34.8,1,2016-12-18T13:30:00Z,12/18/19 13:30,0,0,90,0,2,13,0,0,0,0,8,0,17,0,130842,0,5,0,3,1,6,1,8357,10023,1666,46,TRUE,0,0,17
Simon_Mignolet,0,23,0,0,0,23,1,1,16,0,0,0,188,0,0,163,0,0,0,1.2,9560,11.8,0,2016-12-19T20:00:00Z,12/19/19 20:00,0,0,90,0,0,6,0,0,0,0,11,0,17,1,79394,0,0,0,1,0,0,6,1872,2635,763,47,FALSE,0,0,17
Sofiane_Boufal,0,40,0,0,0,7,0,0,30,21.3,6,0,551,0,0,161,2,1,0,3.3,9923,4.6,1,2016-12-18T13:30:00Z,12/18/19 13:30,0,0,61,1,0,2,0,0,0,0,6,0,17,0,5789,4,0,0,3,1,7,1,963,1372,409,68,FALSE,0,1,17
Sofiane_Feghouli,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,170,0,0,0,0,9838,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,7,0,0,0,0,0,0,17,0,27823,0,0,0,0,1,0,0,-266,47,313,50,TRUE,0,0,17
Stefano_Okaka,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,167,0,0,0,0,9924,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,15,0,0,0,0,0,0,17,0,13091,0,0,0,0,1,0,0,-3276,2833,6109,53,FALSE,0,0,17
